run_number,peakPrev,peakTime,outbreakSize
0,0.07287822878228782,86,1235
1,0.0761070110701107,76,1446
2,0.07472324723247233,71,1266
3,0.06273062730627306,80,1169
4,0.07287822878228782,70,1308
5,0.0013837638376383763,0,5
6,0.0013837638376383763,0,3
7,0.0013837638376383763,0,5
8,0.07149446494464945,64,1370
9,0.0013837638376383763,0,4
10,0.0013837638376383763,0,3
11,0.07195571955719557,62,1387
12,0.06780442804428044,86,1216
13,0.004151291512915129,59,117
14,0.08025830258302583,68,1302
15,0.0797970479704797,78,1364
16,0.07380073800738007,77,1395
17,0.06918819188191883,73,1170
18,0.0013837638376383763,0,4
19,0.05904059040590406,100,859
20,0.0013837638376383763,0,3
21,0.00507380073800738,100,111
22,0.08164206642066421,76,1340
23,0.06503690036900368,100,830
24,0.07103321033210332,72,1320
25,0.017988929889298892,100,314
26,0.07472324723247233,73,1347
27,0.07103321033210332,57,1327
28,0.0705719557195572,99,833
29,0.06365313653136531,80,1144
30,0.0013837638376383763,0,3
31,0.04428044280442804,98,545
32,0.0013837638376383763,0,4
33,0.08071955719557196,67,1368
34,0.0013837638376383763,0,4
35,0.0013837638376383763,0,3
36,0.07933579335793357,98,976
37,0.0013837638376383763,0,4
38,0.0013837638376383763,0,4
39,0.05627306273062731,95,840
40,0.06549815498154982,82,1222
41,0.08856088560885608,89,1284
42,0.0013837638376383763,0,3
43,0.0779520295202952,100,1049
44,0.0013837638376383763,0,4
45,0.07380073800738007,91,1315
46,0.0013837638376383763,0,4
47,0.057656826568265686,100,820
48,0.07287822878228782,94,989
49,0.0013837638376383763,0,4
